t,x,v,a
0.0,0.5,0.5,-3.5225635417193537
0.002000080003200128,0.5009929938494897,0.492952847300112,-3.524296325563965
0.004000160006400256,0.5019718905120176,0.48590228260054275,-3.5259725819512835
0.006000240009600384,0.5029366828804093,0.4788484206113868,-3.5275913980690725
0.008000320012800512,0.5038873641367397,0.47179137778852137,-3.5291518620401985
0.010000400016000641,0.5048239277523339,0.4647312723336056,-3.5306530630119197
0.012000480019200769,0.5057463674877661,0.45766822419408115,-3.532094091248648
0.014000560022400896,0.5066546773928606,0.4506023550631719,-3.533474038228186
0.016000640025601025,0.5075488518066911,0.44353378837988405,-3.5347919967414456
0.018000720028801154,0.5084288853575809,0.43646264932900614,-3.536047060995636
0.020000800032001283,0.509294772963103,0.42938906484110895,-3.537238326720909
0.022000880035201408,0.5101465098300801,0.42231316359254556,-3.5383648912804846
0.024000960038401537,0.5109840914545846,0.41523507600545145,-3.5394258537842136
0.026001040041601666,0.5118075136219382,0.4081549342477443,-3.5404203152056026
0.02800112004480179,0.5126167724067127,0.40107287223312416,-3.5413473785022678
0.03000120004800192,0.5134118641727293,0.39398902562107324,-3.5422061487398233
0.03200128005120205,0.5141927855730588,0.38690353181685627,-3.5429957332191884
0.03400136005440218,0.5149595335500218,0.37981652997152016,-3.5437152416073
0.03600144005760231,0.5157121053351884,0.3727281609818941,-3.544363786071219
0.038001520060802436,0.5164504984493783,0.36563856749058965,-3.544940481415612
0.040001600064002565,0.5171747107026612,0.35854789388600067,-3.545444445223605
0.04200168006720269,0.5178847401943559,0.3514562863023032,-3.5458747980009733
0.044001760070402816,0.5185805853130313,0.34436389261945577,-3.546230663323666
0.046001840073602945,0.5192622447365058,0.33727086246319893,-3.5465111679886396
0.048001920076803074,0.5199297174318472,0.33017734720505604,-3.5467154421679665
0.0500020000800032,0.5205830026553734,0.3230834999623321,-3.546842619566237
0.05200208008320333,0.5212220999526516,0.31598947559811497,-3.5468918375811693
0.05400216008640346,0.5218470091584986,0.3088954307212746,-3.5468622374674648
0.05600224008960358,0.5224577303969811,0.30180152368646307,-3.54675296450384
0.05800232009280371,0.5230542640814153,0.29470791459411505,-3.5465631681632273
0.06000240009600384,0.5236366109143672,0.2876147652904474,-3.54629200228611
0.06200248009920397,0.5242047718876521,0.28052223936745924,-3.54593862525696
0.0640025601024041,0.5247587482823353,0.27343050216293197,-3.5455022001837526
0.06600264010560422,0.5252985416687314,0.26633972076042944,-3.5449818950805163
0.06800272010880436,0.5258241539064049,0.2592500639892976,-3.5443768830528897
0.07000280011200448,0.5263355871441701,0.252161702424665,-3.54368634248665
0.07200288011520461,0.5268328438200904,0.2450748083874421,-3.5429094572391593
0.07400296011840474,0.5273159306808487,0.23798936676202656,-3.5420453350157546
0.07600304012160487,0.5277848552406097,0.2309053487555029,-3.5410930874136666
0.078003120124805,0.5282396202831701,0.22382297140871318,-3.5400519402867774
0.08000320012800513,0.5286802290164985,0.21674245229554284,-3.538921125176875
0.08200328013120525,0.5291066850848704,0.2096640089479881,-3.5376998793566323
0.08400336013440537,0.5295189925688674,0.20258785885615543,-3.53638744612339
0.08600344013760551,0.529917155985378,0.1955142194682618,-3.5349830750917084
0.08800352014080563,0.530301180287597,0.18844330819063485,-3.533486022484626
0.09000360014400577,0.530671070865026,0.18137534238771247,-3.5318955514235704
0.09200368014720589,0.5310268335434726,0.17431053938204327,-3.530210932216814
0.09400376015040603,0.5313684745850514,0.16724911645428614,-3.5284314426464602
0.09600384015360615,0.5316960006881836,0.1601912908432106,-3.5265563682538574
0.09800392015680627,0.5320094189875962,0.15313727974569655,-3.524585002623381
0.1000040001600064,0.5323087370543237,0.1460873003167344,-3.522516647664533
